372 4
1.87402 2.37402 | -0.00765408 -4.20018 -18.0084 -0.0289306 
1.81152 2.31152 | -0.00863602 -3.60454 24.6028 
1.75098 2.37598 | -0.00665457 -4.54381 86.6773 
1.74902 2.49902 | -0.00359158 -6.05022 100.823 
1.74902 2.24902 | -0.0094617 -3.08269 75.8227 
1.62012 2.12012 | -0.0106712 -2.2394 171.279 
1.75098 2.00098 | -0.0140681 -0.440412 49.1773 
1.75098 2.12598 | -0.0119095 -1.73008 61.6773 
1.81348 2.18848 | -0.0112351 -2.21518 10.5975 
1.87598 2.12598 | -0.0128758 -1.40626 -44.1147 -0.20432 
1.99902 2.12402 | -0.0135579 -1.2787 -87.5948 -0.358164 
1.93652 2.06152 | -0.0143836 -0.652678 -82.0727 -0.382799 
1.93848 2.00098 | -0.0154004 -0.0360537 -88.8319 -0.455924 
1.99902 1.99902 | -0.0157117 0.00975662 
1.88574 1.84863 | -0.0173052 1.36573 
1.75488 1.65137 | -0.0184814 2.76523 
1.52832 1.58105 | -0.0165364 2.20565 
1.64746 1.90723 | -0.0144453 0.0431352 
1.6123 1.99512 | -0.012724 -0.995035 163.69 
1.5498 1.96973 | -0.0123477 -1.10703 189.686 
1.3877 1.75488 | -0.0128227 -0.302625 139.675 
1.35059 1.9248 | -0.0100315 -2.19092 131.103 
1.24316 1.90332 | -0.00839806 -3.03435 33.9054 
1.13379 1.94824 | -0.00553328 -4.69968 -55.213 -5.54218e-05 
1.07129 1.97559 | -0.00374478 -5.74696 -87.6356 -4.4628e-06 
1.12207 1.76074 | -0.00773636 -3.10304 -81.914 -0.00040158 
1.14941 1.71777 | -0.0087818 -2.40114 -66.8231 -0.0021202 
1.00488 1.55762 | -0.00693805 -2.94222 -144.167 -0.0030848 
1.16895 1.56934 | -0.0105052 -0.953232 -66.1848 -0.0553293 
1.21387 1.5127 | -0.0117976 -0.0123178 -32.4785 -0.225734 
1.34473 1.5459 | -0.0139886 1.04367 
1.43652 1.46387 | -0.0159748 2.43783 
1.16895 1.42871 | -0.0113462 0.100769 
1.2041 1.16504 | -0.0125696 2.20772 
1.25684 1.09082 | -0.0134852 3.18991 
1.59473 1.38965 | -0.0184768 4.03159 
2.00098 1.00098 | -0.0217078 7.49511 
2.32129 1.32324 | -0.022201 4.90572 
2.58105 1.10449 | -0.0209568 4.60563 
2.85059 1.05176 | -0.0180476 2.21023 
2.79199 1.33301 | -0.0188185 1.20181 
2.70215 1.4541 | -0.0193328 1.29027 
2.50098 1.50098 | -0.0206883 2.62477 
2.75098 1.50098 | -0.0185584 0.451244 
2.81348 1.56348 | -0.0174153 -0.706593 -51.8769 -0.231563 
2.87598 1.50098 | -0.0170247 -0.961041 -106.595 -0.155995 
2.87598 1.62598 | -0.016116 -1.93821 -94.0952 -0.347333 
2.87402 1.74902 | -0.0149427 -2.95269 -80.4886 -0.605435 
2.81152 1.68652 | -0.0163933 -1.68431 -37.8714 -0.451321 
2.75098 1.68848 | -0.0170782 -1.04381 17.9551 
2.75098 1.75098 | -0.0164285 -1.58123 24.2051 
2.76465 1.7998 | -0.0157141 -2.15857 16.2222 
2.78613 1.81348 | -0.0153009 -2.51344 -2.38687 -0.703175 
2.84863 1.77832 | -0.0149482 -2.90729 -59.2652 -0.660884 
2.87598 1.82324 | -0.0140462 -3.63925 -74.3686 -0.765296 
2.98926 1.91895 | -0.0111019 -6.00193 -107.762 -0.949843 
2.89355 1.96582 | -0.011825 -5.20585 -71.0817 -0.968974 
2.84668 1.88965 | -0.0135619 -3.90517 -46.6272 -0.869331 
2.80762 1.94629 | -0.0132385 -3.99959 -8.46813 -0.909819 
2.77051 1.98145 | -0.0131386 -3.93811 28.8979 
2.73145 1.94824 | -0.014077 -3.20448 62.2991 
2.63574 1.97363 | -0.0146162 -2.54479 146.053 
2.72559 1.91309 | -0.0146527 -2.80582 64.255 
2.67676 1.87402 | -0.0156839 -1.96047 104.044 
2.49902 1.99902 | -0.0152215 -1.71957 199.899 
2.37402 1.99902 | -0.0158128 -0.96172 155.303 
2.37402 1.87402 | -0.0176541 0.248608 
2.49902 1.74902 | -0.0185916 0.622956 
2.24902 1.74902 | -0.0194617 1.92165 
2.00098 1.75098 | -0.0190681 2.3352 
2.12598 1.87598 | -0.0178758 1.09157 
2.18848 1.93848 | -0.0170452 0.359081 
2.18652 1.99902 | -0.0161138 -0.231841 -8.36059 -0.377736 
2.12402 1.99902 | -0.0160579 -0.0970549 -56.8198 -0.392665 
2.00098 2.00098 | -0.0156883 -0.00977463 -99.8996 -0.458031 
2.02637 2.20605 | -0.0120771 -2.17152 -77.342 -0.265356 
2.08496 2.1377 | -0.0135749 -1.47448 -65.3652 -0.400968 
2.12598 2.18848 | -0.0126743 -2.08378 -36.573 -0.367618 
2.2002 2.22754 | -0.0119416 -2.68315 26.5646 
2.41309 2.05176 | -0.014791 -1.70928 183.35 
2.45605 2.40137 | -0.00741153 -5.86076 234.45 
2.21191 2.42676 | -0.00744923 -5.03474 57.1098 
2.18652 2.31152 | -0.0101433 -3.59946 22.8894 
2.16504 2.3252 | -0.00982713 -3.70549 6.18508 
2.07324 2.33691 | -0.00941359 -3.69017 -50.7075 -0.132118 
2.10254 2.4248 | -0.00740355 -4.77221 -27.456 -0.0680694 
2.09863 2.58105 | -0.00332413 -6.72217 -14.0056 -0.00939064 
2.23926 2.52441 | -0.00494386 -6.3292 92.3112 
2.12598 2.62598 | -0.00211111 -7.34959 7.17701 
2.23926 2.72559 | 0.000789536 
2.09863 2.66895 | -0.000819244 -7.87573 -5.21655 -0.00233838 
2.04004 2.7373 | 0.00138893 
2.10254 2.8252 | 0.00400758 
2.35645 2.97559 | 0.00927181 
2.44043 2.7002 | 0.000583924 
2.2666 2.7002 | 5.02174e-05 
2.29199 2.50293 | -0.00543912 -6.25372 139.398 
2.70996 2.50684 | -0.0028212 -9.21088 138.049 
2.65137 2.59473 | -0.00101005 -9.7779 196.615 
2.72949 2.71582 | 0.00328073 
2.55762 2.74707 | 0.00271317 
2.80176 2.91309 | 0.0104678 
2.99902 2.74902 | 0.00787912 
2.77246 2.7002 | 0.00328298 
2.83691 2.57324 | 0.000414536 
2.83691 2.55176 | -0.000170913 -11.1427 27.2982 
2.94824 2.58887 | 0.00238818 
2.94434 2.53027 | 0.000736634 
2.94824 2.48535 | -0.00038005 -11.6866 -43.592 -0.101311 
2.90723 2.27637 | -0.00591264 -8.67031 -47.575 -0.499129 
2.84473 2.27246 | -0.00684155 -7.8655 -6.82794 -0.494169 
2.77832 2.31152 | -0.00680061 -7.56467 54.6298 
2.7666 2.43066 | -0.00414429 -8.85142 77.4763 
2.6748 2.39746 | -0.00590648 -7.53178 158.032 
2.54395 2.09863 | -0.0132416 -3.06535 204.188 
2.80176 2.16309 | -0.00960353 -6.16135 18.411 
2.81348 2.18848 | -0.00896561 -6.56902 10.6231 
2.8623 2.22754 | -0.00755516 -7.5685 -24.4997 -0.614068 
2.82324 2.16309 | -0.00934035 -6.40379 -0.282998 -0.750927 
2.9502 2.22754 | -0.0063137 -8.67476 -69.9511 -0.634145 
2.90918 2.1084 | -0.00921876 -6.85369 -65.376 -0.89233 
3.00098 2.00098 | -0.00966873 -6.96778 -99.8997 -0.99999 
3.06934 2.05762 | -0.00758748 -8.5253 -80.2431 -0.963851 
3.00098 2.12012 | -0.00761821 -8.19526 -87.9857 -0.886524 
3.05762 2.19043 | -0.00533542 -9.76269 -71.2474 -0.727832 
3.12598 2.12598 | -0.00535135 -10.1038 -42.8428 -0.847716 
3.12598 2.18848 | -0.00415481 -10.7779 -36.5928 -0.714024 
3.18848 2.18848 | -0.00295828 -11.7824 12.2595 
3.24902 2.12402 | -0.00295731 -12.1124 61.4403 
3.25098 2.00098 | -0.00503885 -10.8774 50.9763 
3.37988 2.12207 | -7.66289e-05 -14.4807 171.446 
3.25098 2.25098 | -0.000408965 -13.5349 75.9763 
3.31348 2.31348 | 0.0022966 
3.37598 2.25098 | 0.00237473 
3.37598 2.37598 | 0.00515842 
3.24902 2.49902 | 0.00537912 
3.00098 2.50098 | 0.000841035 
3.08887 2.66309 | 0.00680705 
3.15137 2.76855 | 0.0111546 
3.50098 2.50098 | 0.0113508 
3.94824 2.50488 | 0.0250907 
3.99902 1.99902 | 0.0162492 
3.72754 1.72363 | 0.00357567 
3.72559 1.61426 | 0.00249022 
3.60254 1.62012 | -0.00106386 -14.3962 131.973 
3.53223 1.75684 | -0.00165106 -14.0198 172.629 
3.4873 1.93848 | -0.00047499 -14.7559 193.367 
3.21191 1.9834 | -0.00612317 -10.0342 12.7468 
3.22949 1.90332 | -0.00695486 -9.55415 21.0165 
3.18848 1.93262 | -0.00736186 -9.14639 -13.3264 -0.896748 
3.16309 1.89941 | -0.00833285 -8.41366 -37.9956 -0.87532 
3.09277 1.96387 | -0.00869463 -7.93467 -78.8633 -0.972572 
3.02441 1.89941 | -0.0108116 -6.3071 -108.303 -0.923451 
3.08301 1.83496 | -0.0106712 -6.56288 -96.5793 -0.801324 
3.16504 1.79395 | -0.00965929 -7.47141 -46.9638 -0.68635 
3.19434 1.70801 | -0.0100322 -7.19905 -30.636 -0.491335 
3.08691 1.69434 | -0.0121902 -5.38098 -108.769 -0.493144 
3.0791 1.5752 | -0.0133641 -4.28963 -124.35 -0.263335 
3.17871 1.5498 | -0.0116976 -5.65307 -60.0194 -0.212238 
