452 4
1.50006 2.50006 | -0.000699268 -7.36145 250.006 
1.62506 2.50006 | -0.00229286 -6.60201 206.029 
1.62506 2.62506 | 0.00111354 
1.50006 2.75006 | 0.00642604 
1.75006 2.75006 | 0.00355134 
1.88495 2.88287 | 0.00681321 
1.99994 2.74994 | 0.00192335 
1.87494 2.74994 | 0.00257975 
1.81244 2.68744 | 0.00112678 
1.81256 2.62506 | -0.000690921 -7.47135 55.0521 
1.87494 2.62494 | -0.00113884 -7.33437 6.47102 
1.81244 2.56244 | -0.00243557 -6.65953 48.8961 
1.87506 2.50006 | -0.00454256 -5.73416 -6.09812 -0.00851566 
1.99994 2.49994 | -0.00520134 -5.62424 -50.0061 -0.0157991 
1.87494 2.37494 | -0.00763854 -4.20945 -18.529 -0.0288504 
1.81244 2.31244 | -0.00862276 -3.61273 23.8961 
1.75006 2.37506 | -0.00666786 -4.5361 87.4486 
1.74994 2.49994 | -0.00357604 -6.05848 100.051 
1.61847 2.37164 | -0.00539074 -5.0726 197.49 
1.74994 2.24994 | -0.00945073 -3.0898 75.0514 
1.62115 2.11041 | -0.0108609 -2.1313 169.636 
1.75006 2.00006 | -0.0140746 -0.434426 49.9486 
1.75006 2.12506 | -0.0119182 -1.72353 62.4486 
1.81256 2.18756 | -0.0112461 -2.20754 11.3021 
1.87506 2.12506 | -0.0128868 -1.39811 -43.5981 -0.204441 
1.99994 2.12494 | -0.0135446 -1.28841 -87.5061 -0.357773 
1.93744 2.06244 | -0.0143726 -0.661316 -82.314 -0.382455 
1.93756 2.00006 | -0.0154103 -0.0276841 -88.5958 -0.456321 
1.99994 1.99994 | -0.0157007 0.000610316 
1.79083 1.96503 | -0.0149732 0.042847 
1.92682 1.7774 | -0.0184198 2.06489 
1.76813 1.58087 | -0.0191842 3.37875 
1.60223 1.51593 | -0.0179286 3.15615 
1.74261 1.85443 | -0.0161252 0.942663 
1.5976 1.87909 | -0.0142595 0.0480468 
1.46295 1.96991 | -0.01114 -1.70428 192.947 
1.47186 1.8681 | -0.0127345 -0.661529 184.474 
1.30731 1.83307 | -0.0105233 -1.73241 86.1739 
1.21259 1.9245 | -0.00750113 -3.56495 7.52599 
1.185 1.97736 | -0.00615488 -4.38754 -11.8243 -0.000202402 
1.02032 1.99554 | -0.00225475 -6.62052 -99.2215 -3.54693e-08 
1.07281 1.8338 | -0.0057775 -4.37701 -101.185 -1.5857e-05 
1.20428 1.76752 | -0.00936475 -2.20726 -15.7294 -0.00244688 
1.01019 1.67963 | -0.00604317 -3.85646 -131.729 -0.000171728 
